Versjon;Ansvar;Beløp;Oppdatert;;;;;;;;;;;;;;;
2021PVBEND;041020;-102000;5/10/2021;;;;;;;;;;;;;;;
2021PVBEND;031020;95098;9/24/2021;;;;;;;;;;;;;;;
2021PVBEND;021100;-226000;11/8/2021;;;;;;;;;;;;;;;
2021PVBEND;011090;-784008;7/16/2021;;;;;;;;;;;;;;;
2021PVBEND;061150;244961;3/9/2021;;;;;;;;;;;;;;;
2021PVBEND;041050;57000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;061090;584000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;061130;-205340;7/16/2021;;;;;;;;;;;;;;;
2021PVBEND;011060;234000;11/8/2021;;;;;;;;;;;;;;;
2021PVBEND;041050;9000;1/24/2022;;;;;;;;;;;;;;;
2021PVBEND;061170;35000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;021080;-152590;7/16/2021;;;;;;;;;;;;;;;
2021PVBEND;021060;-176000;11/8/2021;;;;;;;;;;;;;;;
2021PVBEND;021030;351967;9/24/2021;;;;;;;;;;;;;;;
2021PVBEND;051030;727000;10/11/2021;;;;;;;;;;;;;;;
2021PVBEND;061050;-386000;5/10/2021;;;;;;;;;;;;;;;
2021PVBEND;021020;105000;1/24/2022;;;;;;;;;;;;;;;
2021PVBEND;011040;600000;5/10/2021;;;;;;;;;;;;;;;
2021PVBEND;061110;-229645;7/16/2021;;;;;;;;;;;;;;;
2021PVBEND;031050;-108000;10/11/2021;;;;;;;;;;;;;;;
2021PVBEND;021040;199000;10/11/2021;;;;;;;;;;;;;;;
2021PVBEND;580000;6061;12/1/2021;;;;;;;;;;;;;;;
2021PVBEND;051030;1765000;5/10/2021;;;;;;;;;;;;;;;
2021PVBEND;021010;75782;9/24/2021;;;;;;;;;;;;;;;
2021PVBEND;021110;80000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;061010;-200644;3/9/2021;;;;;;;;;;;;;;;
2021PVBEND;041080;-333675;7/16/2021;;;;;;;;;;;;;;;
2021PVBEND;061140;451000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;041060;226404;1/31/2022;;;;;;;;;;;;;;;
2021PVBEND;041040;1031458;9/24/2021;;;;;;;;;;;;;;;
2021PVBEND;061080;70889;1/31/2022;;;;;;;;;;;;;;;
2021PVBEND;041020;48000;10/11/2021;;;;;;;;;;;;;;;
2021PVBEND;011040;-180318;3/9/2021;;;;;;;;;;;;;;;
2021PVBEND;051072;166000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;041010;115000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;051070;-389000;4/20/2021;;;;;;;;;;;;;;;
2021PVBEND;061070;87000;3/12/2021;;;;;;;;;;;;;;;
2021PVBEND;021040;-1194000;5/10/2021;;;;;;;;;;;;;;;
2021PVBEND;041100;203000;11/8/2021;;;;;;;;;;;;;;;
2021PVBEND;031030;-104000;11/8/2021;;;;;;;;;;;;;;;
2021PVBEND;051050;0;3/12/2021;;;;;;;;;;;;;;;
2021PVBEND;041060;441000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;061040;-256000;4/20/2021;;;;;;;;;;;;;;;
2021PVBEND;061100;107000;3/12/2021;;;;;;;;;;;;;;;
2021PVBEND;011040;301000;10/11/2021;;;;;;;;;;;;;;;
2021PVBEND;021050;115000;3/12/2021;;;;;;;;;;;;;;;
2021PVBEND;011050;2000;3/12/2021;;;;;;;;;;;;;;;
2021PVBEND;021090;-403638;7/16/2021;;;;;;;;;;;;;;;
2021PVBEND;021070;-193000;11/8/2021;;;;;;;;;;;;;;;
2021PVBEND;041100;228580;9/24/2021;;;;;;;;;;;;;;;
2021PVBEND;031070;89000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;031040;1099509;3/9/2021;;;;;;;;;;;;;;;
2021PVBEND;061080;166000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;031070;8000;1/24/2022;;;;;;;;;;;;;;;
2021PVBEND;061120;-1677706;3/9/2021;;;;;;;;;;;;;;;
2021PVBEND;061140;-267000;4/20/2021;;;;;;;;;;;;;;;
2021PVBEND;031060;76000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;041090;-23000;4/20/2021;;;;;;;;;;;;;;;
2021PVBEND;061120;-255934;7/16/2021;;;;;;;;;;;;;;;
2021PVBEND;041080;-953571;3/9/2021;;;;;;;;;;;;;;;
2021PVBEND;021020;125000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;061160;1000;3/12/2021;;;;;;;;;;;;;;;
2021PVBEND;021010;18000;1/24/2022;;;;;;;;;;;;;;;
2021PVBEND;061090;59000;4/20/2021;;;;;;;;;;;;;;;
2021PVBEND;021060;73556;9/24/2021;;;;;;;;;;;;;;;
2021PVBEND;021110;9000;1/24/2022;;;;;;;;;;;;;;;
2021PVBEND;011070;12000;4/20/2021;;;;;;;;;;;;;;;
2021PVBEND;011010;337313;9/24/2021;;;;;;;;;;;;;;;
2021PVBEND;021120;48000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;051070;1046000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;041010;36000;1/24/2022;;;;;;;;;;;;;;;
2021PVBEND;580000;389032;9/24/2021;;;;;;;;;;;;;;;
2021PVBEND;061030;-181077;7/16/2021;;;;;;;;;;;;;;;
2021PVBEND;041070;326842;1/31/2022;;;;;;;;;;;;;;;
2021PVBEND;021030;93000;1/24/2022;;;;;;;;;;;;;;;
2021PVBEND;031020;270000;11/8/2021;;;;;;;;;;;;;;;
2021PVBEND;011070;-24902;3/9/2021;;;;;;;;;;;;;;;
2021PVBEND;031030;34000;4/20/2021;;;;;;;;;;;;;;;
2021PVBEND;011090;-529000;4/20/2021;;;;;;;;;;;;;;;
2021PVBEND;031040;95000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;031070;-914493;3/9/2021;;;;;;;;;;;;;;;
2021PVBEND;011050;92633;9/24/2021;;;;;;;;;;;;;;;
2021PVBEND;061100;48000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;021060;49000;5/10/2021;;;;;;;;;;;;;;;
2021PVBEND;021020;322811;3/9/2021;;;;;;;;;;;;;;;
2021PVBEND;011060;335000;5/10/2021;;;;;;;;;;;;;;;
2021PVBEND;011060;-713000;10/11/2021;;;;;;;;;;;;;;;
2021PVBEND;051070;-52000;3/12/2021;;;;;;;;;;;;;;;
2021PVBEND;061110;-511000;11/8/2021;;;;;;;;;;;;;;;
2021PVBEND;031060;184000;5/10/2021;;;;;;;;;;;;;;;
2021PVBEND;061150;-170376;7/16/2021;;;;;;;;;;;;;;;
2021PVBEND;021070;-63000;10/11/2021;;;;;;;;;;;;;;;
2021PVBEND;041090;1189000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;031050;-473000;11/8/2021;;;;;;;;;;;;;;;
2021PVBEND;061140;110000;3/12/2021;;;;;;;;;;;;;;;
2021PVBEND;031040;-10000;1/24/2022;;;;;;;;;;;;;;;
2021PVBEND;061090;98000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;021110;312340;1/31/2022;;;;;;;;;;;;;;;
2021PVBEND;061130;245315;1/31/2022;;;;;;;;;;;;;;;
2021PVBEND;061100;18000;1/24/2022;;;;;;;;;;;;;;;
2021PVBEND;021120;71000;10/11/2021;;;;;;;;;;;;;;;
2021PVBEND;061030;485000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;051030;846466;3/9/2021;;;;;;;;;;;;;;;
2021PVBEND;041060;37000;1/24/2022;;;;;;;;;;;;;;;
2021PVBEND;051050;28000;10/11/2021;;;;;;;;;;;;;;;
2021PVBEND;041010;-192000;11/8/2021;;;;;;;;;;;;;;;
2021PVBEND;021090;-35000;4/20/2021;;;;;;;;;;;;;;;
2021PVBEND;011090;844000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;041080;192000;3/12/2021;;;;;;;;;;;;;;;
2021PVBEND;061170;-45000;4/20/2021;;;;;;;;;;;;;;;
2021PVBEND;031060;-294000;10/11/2021;;;;;;;;;;;;;;;
2021PVBEND;061080;-73401;7/16/2021;;;;;;;;;;;;;;;
2021PVBEND;041040;305977;1/31/2022;;;;;;;;;;;;;;;
