Enhet;Måned;År;Regnskap
E021030 - Brundalen skole;5;2021;2 481 570
E021030 - Brundalen skole;6;2021;-342 470
E021030 - Brundalen skole;7;2021;2 874 540
E021030 - Brundalen skole;8;2021;2 977 720
E021030 - Brundalen skole;9;2021;2 939 520
E021030 - Brundalen skole;10;2021;2 994 460
E021030 - Brundalen skole;11;2021;3 073 770
E021030 - Brundalen skole;12;2021;2 089 780
E021040 - Charlottenlund barneskole;1;2021;3 587 040
E021040 - Charlottenlund barneskole;2;2021;3 754 820
E021040 - Charlottenlund barneskole;3;2021;3 463 710
E021040 - Charlottenlund barneskole;4;2021;3 712 030
E021040 - Charlottenlund barneskole;5;2021;3 689 630
E021040 - Charlottenlund barneskole;6;2021;-1 574 870
E021040 - Charlottenlund barneskole;7;2021;3 779 400
E021040 - Charlottenlund barneskole;8;2021;4 066 800
E021040 - Charlottenlund barneskole;9;2021;3 779 380
E021040 - Charlottenlund barneskole;10;2021;3 862 170
E021040 - Charlottenlund barneskole;11;2021;3 541 770
E021040 - Charlottenlund barneskole;12;2021;3 856 020
E021050 - Charlottenlund ungdomsskole;1;2021;3 862 150
E021050 - Charlottenlund ungdomsskole;2;2021;4 088 950
E021050 - Charlottenlund ungdomsskole;3;2021;4 059 020
E021050 - Charlottenlund ungdomsskole;4;2021;4 532 920
E021050 - Charlottenlund ungdomsskole;5;2021;3 741 600
E021050 - Charlottenlund ungdomsskole;6;2021;-2 480 720
E021050 - Charlottenlund ungdomsskole;7;2021;3 044 800
E021050 - Charlottenlund ungdomsskole;8;2021;5 017 890
E021050 - Charlottenlund ungdomsskole;9;2021;4 683 000
E021050 - Charlottenlund ungdomsskole;10;2021;4 593 920
E021050 - Charlottenlund ungdomsskole;11;2021;3 876 710
E021050 - Charlottenlund ungdomsskole;12;2021;3 923 920
E021060 - Eberg skole;1;2021;2 375 710
E021060 - Eberg skole;2;2021;2 457 700
E021060 - Eberg skole;3;2021;2 510 110
E021060 - Eberg skole;4;2021;2 462 390
E021060 - Eberg skole;5;2021;2 290 860
E021060 - Eberg skole;6;2021;-761 210
E021060 - Eberg skole;7;2021;2 410 740
E021060 - Eberg skole;8;2021;2 649 480
E021060 - Eberg skole;9;2021;2 772 810
E021060 - Eberg skole;10;2021;2 791 510
E021060 - Eberg skole;11;2021;2 363 170
E021060 - Eberg skole;12;2021;2 489 450
E021070 - Ranheim skole;1;2021;3 422 530
E021070 - Ranheim skole;2;2021;3 588 440
E021070 - Ranheim skole;3;2021;3 440 860
E021070 - Ranheim skole;4;2021;3 632 780
E021070 - Ranheim skole;5;2021;3 208 020
E021070 - Ranheim skole;6;2021;-1 488 670
E021070 - Ranheim skole;7;2021;3 244 060
E021070 - Ranheim skole;8;2021;3 814 600
E021070 - Ranheim skole;9;2021;3 465 110
E021070 - Ranheim skole;10;2021;3 825 120
E021070 - Ranheim skole;11;2021;3 526 980
E021070 - Ranheim skole;12;2021;2 430 290
E021080 - Solbakken skole;1;2021;1 047 540
E021080 - Solbakken skole;2;2021;1 151 680
E021080 - Solbakken skole;3;2021;1 108 230
E021080 - Solbakken skole;4;2021;1 299 310
E021080 - Solbakken skole;5;2021;1 223 920
E021080 - Solbakken skole;6;2021;-153 390
E021080 - Solbakken skole;7;2021;1 018 600
E021080 - Solbakken skole;8;2021;1 145 380
E021080 - Solbakken skole;9;2021;1 149 520
E021080 - Solbakken skole;10;2021;1 128 380
